Wavelength (nm)	N13 abs N
404.00	0.012862
404.25	0.013147
404.50	0.012367
404.75	0.013236
405.00	0.012055
405.25	0.011431
405.50	0.013690
405.75	0.010943
406.00	0.012245
406.25	0.014653
406.50	0.012489
406.75	0.012835
407.00	0.012937
407.25	0.011960
407.50	0.012028
407.75	0.012143
408.00	0.011173
408.25	0.011519
408.50	0.012876
408.75	0.012333
409.00	0.011784
409.25	0.013466
409.50	0.012259
409.75	0.011214
410.00	0.013358
410.25	0.012367
410.50	0.011194
410.75	0.011329
411.00	0.011384
411.25	0.012313
411.50	0.012082
411.75	0.010888
412.00	0.010739
412.25	0.012801
412.50	0.012951
412.75	0.011214
413.00	0.010162
413.25	0.011506
413.50	0.010142
413.75	0.010678
414.00	0.011105
414.25	0.011390
414.50	0.011696
414.75	0.010006
415.00	0.010549
415.25	0.010142
415.50	0.010162
415.75	0.0099114
416.00	0.0092805
416.25	0.010590
416.50	0.010542
416.75	0.011017
417.00	0.010454
417.25	0.0091516
417.50	0.010040
417.75	0.0096061
418.00	0.0093891
418.25	0.0099046
418.50	0.0092941
418.75	0.0089820
419.00	0.0085818
419.25	0.0093891
419.50	0.0090092
419.75	0.0081747
420.00	0.0076252
420.25	0.0079305
420.50	0.0083715
420.75	0.0088938
421.00	0.0088260
421.25	0.0076727
421.50	0.0085750
421.75	0.0097283
422.00	0.0087174
422.25	0.0071775
422.50	0.0080187
422.75	0.0067840
423.00	0.0076388
423.25	0.0079509
423.50	0.0078627
423.75	0.0092466
424.00	0.0081679
424.25	0.0094365
424.50	0.0076524
424.75	0.0078084
425.00	0.0069061
425.25	0.0083375
425.50	0.0080933
425.75	0.0069129
426.00	0.0065873
426.25	0.0078830
426.50	0.0084054
426.75	0.0075574
427.00	0.0085411
427.25	0.0074963
427.50	0.0077677
427.75	0.0099250
428.00	0.0070621
428.25	0.0082968
428.50	0.0064516
428.75	0.0083850
429.00	0.0074081
429.25	0.0075438
429.50	0.0083375
429.75	0.010122
430.00	0.0090566
430.25	0.0091109
430.50	0.0078898
430.75	0.0080323
431.00	0.0078220
431.25	0.0073742
431.50	0.0064991
431.75	0.0084325
432.00	0.0083511
432.25	0.0083172
432.50	0.0094094
432.75	0.010475
433.00	0.0099928
433.25	0.0084393
433.50	0.0081340
433.75	0.0081747
434.00	0.0096672
434.25	0.0090024
434.50	0.0088124
434.75	0.0097350
435.00	0.0096265
