Wavelength (nm)	N01 abs e
523.50	8475.1
523.75	8128.3
524.00	7829.5
524.25	7354.8
524.50	7092.7
524.75	6898.2
525.00	6596.3
525.25	6375.1
525.50	6075.7
525.75	5783.9
526.00	5529.4
526.25	5322.8
526.50	5087.0
526.75	4933.8
527.00	4739.7
527.25	4464.1
527.50	4235.8
527.75	4073.5
528.00	3909.7
528.25	3737.9
528.50	3602.8
528.75	3518.6
529.00	3296.4
529.25	3295.9
529.50	3093.3
529.75	2969.8
530.00	2746.6
530.25	2658.4
530.50	2526.8
530.75	2432.6
531.00	2278.4
531.25	2315.7
531.50	2218.9
531.75	2086.9
532.00	1795.1
532.25	1839.4
532.50	1812.2
532.75	1882.3
533.00	1601.1
533.25	1624.8
533.50	1536.1
533.75	1586.0
534.00	1425.2
534.25	1330.5
534.50	1346.1
534.75	1241.2
535.00	1360.2
535.25	1328.4
535.50	1201.4
535.75	1127.9
536.00	1138.9
536.25	1096.1
536.50	957.52
536.75	1054.8
537.00	892.01
537.25	871.34
537.50	907.13
537.75	856.73
538.00	970.62
538.25	925.27
538.50	891.50
538.75	752.91
539.00	834.05
539.25	753.92
539.50	704.53
539.75	681.35
540.00	694.45
540.25	637.51
540.50	576.53
540.75	616.85
541.00	645.07
541.25	742.83
541.50	835.56
541.75	613.32
542.00	658.17
542.25	592.66
542.50	484.81
542.75	506.98
543.00	432.40
543.25	495.90
543.50	564.94
543.75	623.90
544.00	538.23
544.25	549.31
544.50	522.60
544.75	383.01
545.00	423.33
545.25	411.73
545.50	370.41
545.75	371.42
546.00	481.78
546.25	370.41
546.50	297.34
546.75	438.95
547.00	504.46
547.25	470.70
547.50	314.97
547.75	408.21
548.00	402.16
548.25	322.53
548.50	425.34
548.75	349.24
549.00	433.40
549.25	388.55
549.50	350.76
549.75	424.84
550.00	453.56
550.25	542.26
550.50	383.51
550.75	386.03
551.00	158.24
551.25	298.34
551.50	281.71
551.75	478.76
552.00	332.11
552.25	403.67
552.50	576.02
552.75	344.71
553.00	355.29
553.25	306.41
553.50	403.67
553.75	463.64
554.00	278.19
554.25	292.30
554.50	326.57
554.75	376.96
555.00	290.78
555.25	313.97
555.50	397.62
555.75	338.66
556.00	361.34
556.25	197.05
556.50	256.51
556.75	169.83
557.00	392.08
557.25	334.12
557.50	289.27
557.75	302.38
558.00	365.87
558.25	537.22
558.50	399.14
558.75	203.10
559.00	168.32
559.25	368.90
559.50	206.62
559.75	296.33
560.00	355.79
560.25	286.25
560.50	257.52
560.75	371.42
561.00	259.54
561.25	343.20
561.50	379.98
561.75	367.89
562.00	261.05
562.25	257.02
562.50	337.65
562.75	140.10
563.00	246.94
563.25	240.89
563.50	379.48
563.75	312.96
564.00	346.22
564.25	271.63
564.50	331.60
564.75	237.87
565.00	149.17
565.25	327.07
565.50	215.19
565.75	348.74
566.00	392.08
566.25	310.94
566.50	304.89
566.75	262.56
567.00	302.88
567.25	292.30
567.50	336.64
567.75	185.46
568.00	294.82
568.25	221.74
568.50	108.35
568.75	207.13
569.00	212.67
569.25	355.29
569.50	230.81
569.75	248.96
570.00	67.530
570.25	227.29
570.50	157.24
570.75	232.32
571.00	103.82
571.25	193.52
571.50	241.90
571.75	105.83
572.00	277.18
572.25	86.177
572.50	279.70
572.75	154.72
573.00	204.10
573.25	202.09
573.50	153.20
573.75	265.59
574.00	106.84
574.25	29.230
574.50	197.55
574.75	187.98
575.00	246.44
575.25	117.42
575.50	212.67
575.75	48.380
576.00	276.67
576.25	205.62
576.50	169.83
576.75	219.73
577.00	119.44
577.25	264.58
577.50	189.49
577.75	255.51
578.00	134.05
578.25	145.14
578.50	133.05
578.75	224.26
579.00	193.52
579.25	126.49
579.50	180.92
579.75	26.710
580.00	158.24
580.25	173.87
580.50	124.48
580.75	299.86
581.00	167.82
581.25	332.11
581.50	176.89
581.75	212.67
582.00	131.03
582.25	94.744
582.50	200.58
582.75	135.56
583.00	146.65
583.25	130.02
583.50	252.48
583.75	219.73
584.00	127.50
584.25	215.69
584.50	145.14
584.75	256.51
585.00	167.31
585.25	165.30
585.50	156.23
585.75	110.37
586.00	224.26
586.25	156.73
586.50	210.65
586.75	192.51
587.00	258.03
587.25	268.61
587.50	232.83
587.75	187.47
588.00	137.58
588.25	184.45
588.50	144.13
588.75	212.67
589.00	171.85
589.25	172.35
589.50	157.24
589.75	207.13
590.00	215.69
590.25	139.60
590.50	182.94
590.75	82.145
591.00	234.84
591.25	168.32
591.50	107.34
591.75	299.86
592.00	137.58
592.25	192.01
592.50	216.70
592.75	364.36
593.00	181.43
593.25	170.34
593.50	139.09
593.75	136.07
594.00	189.99
594.25	-35.781
594.50	193.52
594.75	227.79
595.00	161.27
595.25	308.42
595.50	194.53
595.75	256.51
596.00	164.79
596.25	74.082
596.50	216.20
596.75	196.54
597.00	227.29
597.25	202.09
597.50	379.48
597.75	132.04
598.00	272.64
598.25	229.81
598.50	210.65
598.75	172.86
599.00	124.98
599.25	235.85
599.50	91.216
599.75	262.56
600.00	207.63
