Wavelength (nm)	N11 abs e
472.25	5904.2
472.50	6068.6
472.75	6054.3
473.00	6263.5
473.25	6224.1
473.50	6209.0
473.75	6639.7
474.00	6568.2
474.25	6486.0
474.50	6715.7
474.75	6651.4
475.00	6789.0
475.25	6745.2
475.50	7117.0
475.75	6934.7
476.00	7365.5
476.25	7378.0
476.50	7519.2
476.75	7377.1
477.00	7499.5
477.25	7776.6
477.50	7634.5
477.75	7927.7
478.00	7881.2
478.25	8177.0
478.50	8093.9
478.75	8340.6
479.00	8363.8
479.25	8589.0
479.50	8564.0
479.75	8736.5
480.00	8887.6
480.25	8942.1
480.50	9104.7
480.75	9073.5
481.00	9157.5
481.25	9628.5
481.50	9428.3
481.75	9899.3
482.00	9744.7
482.25	10017
482.50	10147
482.75	10227
483.00	10395
483.25	10418
483.50	10722
483.75	10771
484.00	11201
484.25	11093
484.50	11398
484.75	11525
485.00	11526
485.25	11946
485.50	11923
485.75	12151
486.00	12438
486.25	12454
486.50	12557
486.75	12700
487.00	12981
487.25	13181
487.50	13439
487.75	13600
488.00	13809
488.25	14183
488.50	14247
488.75	14626
489.00	14529
489.25	15079
489.50	15064
489.75	15366
490.00	15643
490.25	15789
490.50	16231
490.75	16208
491.00	16651
491.25	16813
491.50	17166
491.75	17629
492.00	17772
492.25	17974
492.50	17831
492.75	18544
493.00	18680
493.25	18836
493.50	19328
493.75	19267
494.00	19771
494.25	20092
494.50	20113
494.75	20489
495.00	20708
495.25	20977
495.50	21184
495.75	21765
496.00	21652
496.25	22278
496.50	22575
496.75	22895
497.00	23092
497.25	23381
497.50	23610
497.75	23859
498.00	24162
498.25	24545
498.50	24758
498.75	25217
499.00	25333
499.25	25921
499.50	26279
499.75	26443
500.00	26602
500.25	27003
500.50	27324
500.75	27557
501.00	27847
501.25	28136
501.50	28568
501.75	28670
502.00	28965
502.25	29273
502.50	29429
502.75	29921
503.00	29997
503.25	30523
503.50	30610
503.75	30711
504.00	31056
504.25	31391
504.50	31603
504.75	31752
505.00	31980
505.25	32149
505.50	32683
505.75	32686
506.00	33141
506.25	33223
506.50	33266
506.75	33630
507.00	33525
507.25	34068
507.50	34256
507.75	34144
508.00	34850
508.25	34902
508.50	35182
508.75	35067
509.00	35222
509.25	35592
509.50	35817
509.75	35999
510.00	36388
510.25	36432
510.50	36822
510.75	36940
511.00	37051
511.25	37280
511.50	37412
511.75	37626
512.00	37787
512.25	38013
512.50	38469
512.75	38773
513.00	38906
513.25	39148
513.50	39100
513.75	39497
514.00	39607
514.25	40082
514.50	40416
514.75	40591
515.00	40803
515.25	41323
515.50	41292
515.75	41750
516.00	42236
516.25	42687
516.50	42938
516.75	43203
517.00	43621
517.25	44106
517.50	44151
517.75	44680
518.00	44943
518.25	45338
518.50	45803
518.75	46050
519.00	46627
519.25	46754
519.50	47380
519.75	47709
520.00	47906
520.25	48616
520.50	48879
520.75	49589
521.00	50213
521.25	50617
521.50	51050
521.75	51796
522.00	52302
522.25	52758
522.50	53284
522.75	53756
523.00	54636
523.25	54909
523.50	55700
523.75	56415
524.00	57006
524.25	57903
524.50	58275
524.75	58965
525.00	59417
525.25	60288
525.50	60952
525.75	61723
526.00	62290
526.25	63112
526.50	63886
526.75	64373
527.00	65162
527.25	66116
527.50	66880
527.75	67824
528.00	68520
528.25	69239
528.50	70131
528.75	71284
529.00	71996
529.25	72464
529.50	73511
529.75	74415
530.00	75250
530.25	75816
530.50	77092
530.75	77919
531.00	78475
531.25	79506
531.50	80179
531.75	81213
532.00	82156
532.25	83172
532.50	83931
532.75	84718
533.00	85733
533.25	86638
533.50	87186
533.75	87545
534.00	88495
534.25	88842
534.50	89730
534.75	90547
535.00	91202
535.25	92054
535.50	92820
535.75	93587
536.00	94155
536.25	95200
536.50	95644
536.75	96535
537.00	97285
537.25	97959
537.50	98776
537.75	99185
538.00	99812
538.25	1.0036e+05
538.50	1.0116e+05
538.75	1.0144e+05
539.00	1.0186e+05
539.25	1.0269e+05
539.50	1.0303e+05
539.75	1.0344e+05
540.00	1.0378e+05
540.25	1.0377e+05
540.50	1.0444e+05
540.75	1.0498e+05
541.00	1.0519e+05
541.25	1.0511e+05
541.50	1.0525e+05
541.75	1.0547e+05
542.00	1.0553e+05
542.25	1.0562e+05
542.50	1.0593e+05
542.75	1.0600e+05
543.00	1.0579e+05
543.25	1.0565e+05
543.50	1.0559e+05
543.75	1.0561e+05
544.00	1.0519e+05
544.25	1.0478e+05
544.50	1.0487e+05
544.75	1.0413e+05
545.00	1.0425e+05
545.25	1.0374e+05
545.50	1.0331e+05
